StudentID,AttendancePercentage,AverageScore,FeeStatus,LMS_Logins_Per_Week,MidtermGrade,ScholarshipHolder,Target,Name,Email,Phone,Branch,Year,FinancialStressScore,HealthImpact,CareerConfidenceScore,ReportingPeriod
SID_2024001,103,79.56,Paid,6,78.82,1,Enrolled,Harish Narang,harish33@college.edu,6280452137,Electronics,3,2,No,4,1
SID_2024001,87,75.5,Paid,6,78.82,1,Enrolled,Harish Narang,harish33@college.edu,6280452137,Electronics,3,2,No,4,2
SID_2024001,88,82.19,Paid,6,78.82,1,Enrolled,Harish Narang,harish33@college.edu,6280452137,Electronics,3,2,No,4,3
SID_2024001,91,81.49,Paid,6,78.82,1,Enrolled,Harish Narang,harish33@college.edu,6280452137,Electronics,3,2,No,4,4
SID_2024002,72,54.23,Paid,6,68.24,1,Enrolled,Ikbal Kota,ikbal33@college.edu,+915262058476,Mechanical,3,3,Yes,4,1
SID_2024002,77,65.62,Paid,6,68.24,1,Enrolled,Ikbal Kota,ikbal33@college.edu,+915262058476,Mechanical,3,3,Yes,4,2
SID_2024002,75,57.85,Paid,6,68.24,1,Enrolled,Ikbal Kota,ikbal33@college.edu,+915262058476,Mechanical,3,3,Yes,4,3
SID_2024002,75,60.33,Paid,6,68.24,1,Enrolled,Ikbal Kota,ikbal33@college.edu,+915262058476,Mechanical,3,3,Yes,4,4
SID_2024003,70,73.63,Paid,8,94.71,1,Graduate,Aarush Kulkarni,aarush83@college.edu,+916467406532,Computer Science,3,2,Yes,5,1
SID_2024003,83,78.7,Paid,8,94.71,1,Graduate,Aarush Kulkarni,aarush83@college.edu,+916467406532,Computer Science,3,2,Yes,5,2
SID_2024003,82,76.06,Paid,8,94.71,1,Graduate,Aarush Kulkarni,aarush83@college.edu,+916467406532,Computer Science,3,2,Yes,5,3
SID_2024003,85,76.46,Paid,8,94.71,1,Graduate,Aarush Kulkarni,aarush83@college.edu,+916467406532,Computer Science,3,2,Yes,5,4
SID_2024004,55,42.61,Overdue,2,54.02,1,Dropout,Ekavir Morar,ekavir69@college.edu,+915178550403,Electrical,1,4,Yes,2,1
SID_2024004,51,40.94,Overdue,2,54.02,1,Dropout,Ekavir Morar,ekavir69@college.edu,+915178550403,Electrical,1,4,Yes,2,2
SID_2024004,47,43.45,Overdue,2,54.02,1,Dropout,Ekavir Morar,ekavir69@college.edu,+915178550403,Electrical,1,4,Yes,2,3
SID_2024004,49,44.4,Overdue,2,54.02,1,Dropout,Ekavir Morar,ekavir69@college.edu,+915178550403,Electrical,1,4,Yes,2,4
SID_2024005,78,85.91,Paid,9,58.89,0,Enrolled,Janya Muni,janya33@college.edu,2454645181,Electronics,2,4,Yes,5,1
SID_2024005,74,77.49,Paid,9,58.89,0,Enrolled,Janya Muni,janya33@college.edu,2454645181,Electronics,2,4,Yes,5,2
SID_2024005,85,81.37,Paid,9,58.89,0,Enrolled,Janya Muni,janya33@college.edu,2454645181,Electronics,2,4,Yes,5,3
SID_2024005,84,79.46,Paid,9,58.89,0,Enrolled,Janya Muni,janya33@college.edu,2454645181,Electronics,2,4,Yes,5,4
SID_2024006,49,44.23,Overdue,2,52.22,0,Dropout,Janani Pai,janani38@college.edu,00354662787,Mechanical,3,4,No,1,1
SID_2024006,56,49.4,Overdue,2,52.22,0,Dropout,Janani Pai,janani38@college.edu,00354662787,Mechanical,3,4,No,1,2
SID_2024006,47,49.05,Overdue,2,52.22,0,Dropout,Janani Pai,janani38@college.edu,00354662787,Mechanical,3,4,No,1,3
SID_2024006,52,47.31,Overdue,2,52.22,0,Dropout,Janani Pai,janani38@college.edu,00354662787,Mechanical,3,4,No,1,4
SID_2024007,86,101.99,Paid,14,87.97,0,Graduate,Vasana Nadkarni,vasana55@college.edu,7704271278,Computer Science,3,1,No,4,1
SID_2024007,80,93.01,Paid,14,87.97,0,Graduate,Vasana Nadkarni,vasana55@college.edu,7704271278,Computer Science,3,1,No,4,2
SID_2024007,90,94.16,Paid,14,87.97,0,Graduate,Vasana Nadkarni,vasana55@college.edu,7704271278,Computer Science,3,1,No,4,3
SID_2024007,86,95.06,Paid,14,87.97,0,Graduate,Vasana Nadkarni,vasana55@college.edu,7704271278,Computer Science,3,1,No,4,4
SID_2024008,47,50.0,Paid,4,49.17,0,Dropout,Dhriti Ganguly,dhriti85@college.edu,9921625904,Electrical,2,3,Yes,1,1
SID_2024008,43,56.85,Paid,4,49.17,0,Dropout,Dhriti Ganguly,dhriti85@college.edu,9921625904,Electrical,2,3,Yes,1,2
SID_2024008,57,54.97,Paid,4,49.17,0,Dropout,Dhriti Ganguly,dhriti85@college.edu,9921625904,Electrical,2,3,Yes,1,3
SID_2024008,53,55.59,Paid,4,49.17,0,Dropout,Dhriti Ganguly,dhriti85@college.edu,9921625904,Electrical,2,3,Yes,1,4
SID_2024009,86,92.5,Paid,14,84.18,1,Graduate,Tarak Sathe,tarak80@college.edu,+913329400761,Mechanical,1,3,No,5,1
SID_2024009,98,98.34,Paid,14,84.18,1,Graduate,Tarak Sathe,tarak80@college.edu,+913329400761,Mechanical,1,3,No,5,2
SID_2024009,102,98.0,Paid,14,84.18,1,Graduate,Tarak Sathe,tarak80@college.edu,+913329400761,Mechanical,1,3,No,5,3
SID_2024009,98,96.23,Paid,14,84.18,1,Graduate,Tarak Sathe,tarak80@college.edu,+913329400761,Mechanical,1,3,No,5,4
SID_2024010,106,92.15,Paid,13,75.89,0,Graduate,Hardik Doctor,hardik82@college.edu,+915268848250,Computer Science,1,2,No,5,1
SID_2024010,98,94.32,Paid,13,75.89,0,Graduate,Hardik Doctor,hardik82@college.edu,+915268848250,Computer Science,1,2,No,5,2
SID_2024010,96,89.71,Paid,13,75.89,0,Graduate,Hardik Doctor,hardik82@college.edu,+915268848250,Computer Science,1,2,No,5,3
SID_2024010,94,90.45,Paid,13,75.89,0,Graduate,Hardik Doctor,hardik82@college.edu,+915268848250,Computer Science,1,2,No,5,4
SID_2024011,75,67.49,Paid,7,74.1,0,Enrolled,Neha Sengupta,neha13@college.edu,0851284030,Electronics,2,4,No,4,1
SID_2024011,84,69.99,Paid,7,74.1,0,Enrolled,Neha Sengupta,neha13@college.edu,0851284030,Electronics,2,4,No,4,2
SID_2024011,91,63.76,Paid,7,74.1,0,Enrolled,Neha Sengupta,neha13@college.edu,0851284030,Electronics,2,4,No,4,3
SID_2024011,90,66.34,Paid,7,74.1,0,Enrolled,Neha Sengupta,neha13@college.edu,0851284030,Electronics,2,4,No,4,4
SID_2024012,101,90.54,Paid,5,73.45,0,Graduate,Hiral Sharaf,hiral24@college.edu,2015361969,Computer Science,2,1,No,4,1
SID_2024012,89,85.6,Paid,5,73.45,0,Graduate,Hiral Sharaf,hiral24@college.edu,2015361969,Computer Science,2,1,No,4,2
SID_2024012,96,81.74,Paid,5,73.45,0,Graduate,Hiral Sharaf,hiral24@college.edu,2015361969,Computer Science,2,1,No,4,3
SID_2024012,95,83.7,Paid,5,73.45,0,Graduate,Hiral Sharaf,hiral24@college.edu,2015361969,Computer Science,2,1,No,4,4
SID_2024013,76,92.23,Paid,13,71.92,1,Graduate,Sai Reddy,sai39@college.edu,2817633494,Mechanical,2,2,No,5,1
SID_2024013,81,89.24,Paid,13,71.92,1,Graduate,Sai Reddy,sai39@college.edu,2817633494,Mechanical,2,2,No,5,2
SID_2024013,87,91.02,Paid,13,71.92,1,Graduate,Sai Reddy,sai39@college.edu,2817633494,Mechanical,2,2,No,5,3
SID_2024013,85,92.85,Paid,13,71.92,1,Graduate,Sai Reddy,sai39@college.edu,2817633494,Mechanical,2,2,No,5,4
SID_2024014,91,73.96,Due,9,59.45,0,Enrolled,Isaac Sura,isaac21@college.edu,09523192379,Mechanical,3,3,No,5,1
SID_2024014,81,70.87,Due,9,59.45,0,Enrolled,Isaac Sura,isaac21@college.edu,09523192379,Mechanical,3,3,No,5,2
SID_2024014,86,74.56,Due,9,59.45,0,Enrolled,Isaac Sura,isaac21@college.edu,09523192379,Mechanical,3,3,No,5,3
SID_2024014,91,72.31,Due,9,59.45,0,Enrolled,Isaac Sura,isaac21@college.edu,09523192379,Mechanical,3,3,No,5,4
SID_2024015,93,85.04,Paid,13,94.74,0,Graduate,Yug Chawla,yug72@college.edu,+910602378146,Computer Science,3,3,No,4,1
SID_2024015,77,75.13,Paid,13,94.74,0,Graduate,Yug Chawla,yug72@college.edu,+910602378146,Computer Science,3,3,No,4,2
SID_2024015,87,79.71,Paid,13,94.74,0,Graduate,Yug Chawla,yug72@college.edu,+910602378146,Computer Science,3,3,No,4,3
SID_2024015,87,80.66,Paid,13,94.74,0,Graduate,Yug Chawla,yug72@college.edu,+910602378146,Computer Science,3,3,No,4,4
SID_2024016,53,61.82,Due,0,55.0,0,Dropout,Unni Agrawal,unni89@college.edu,04444141844,Mechanical,4,5,Yes,3,1
SID_2024016,50,60.17,Due,0,55.0,0,Dropout,Unni Agrawal,unni89@college.edu,04444141844,Mechanical,4,5,Yes,3,2
SID_2024016,53,57.52,Due,0,55.0,0,Dropout,Unni Agrawal,unni89@college.edu,04444141844,Mechanical,4,5,Yes,3,3
SID_2024016,50,55.68,Due,0,55.0,0,Dropout,Unni Agrawal,unni89@college.edu,04444141844,Mechanical,4,5,Yes,3,4
SID_2024017,81,90.61,Paid,14,86.48,0,Graduate,Kalpit Nayak,kalpit39@college.edu,+913715562594,Mechanical,3,3,No,4,1
SID_2024017,96,92.46,Paid,14,86.48,0,Graduate,Kalpit Nayak,kalpit39@college.edu,+913715562594,Mechanical,3,3,No,4,2
SID_2024017,98,90.32,Paid,14,86.48,0,Graduate,Kalpit Nayak,kalpit39@college.edu,+913715562594,Mechanical,3,3,No,4,3
SID_2024017,96,88.07,Paid,14,86.48,0,Graduate,Kalpit Nayak,kalpit39@college.edu,+913715562594,Mechanical,3,3,No,4,4
SID_2024018,89,59.48,Paid,6,57.91,0,Enrolled,Chakradhar Narula,chakradhar23@college.edu,05927868823,Civil,3,2,Yes,4,1
SID_2024018,75,71.22,Paid,6,57.91,0,Enrolled,Chakradhar Narula,chakradhar23@college.edu,05927868823,Civil,3,2,Yes,4,2
SID_2024018,75,68.65,Paid,6,57.91,0,Enrolled,Chakradhar Narula,chakradhar23@college.edu,05927868823,Civil,3,2,Yes,4,3
SID_2024018,77,67.36,Paid,6,57.91,0,Enrolled,Chakradhar Narula,chakradhar23@college.edu,05927868823,Civil,3,2,Yes,4,4
SID_2024019,67,53.66,Overdue,2,55.67,0,Dropout,Sai Sastry,sai53@college.edu,07914673945,Electronics,2,5,No,3,1
SID_2024019,68,59.69,Overdue,2,55.67,0,Dropout,Sai Sastry,sai53@college.edu,07914673945,Electronics,2,5,No,3,2
SID_2024019,63,61.7,Overdue,2,55.67,0,Dropout,Sai Sastry,sai53@college.edu,07914673945,Electronics,2,5,No,3,3
SID_2024019,64,62.26,Overdue,2,55.67,0,Dropout,Sai Sastry,sai53@college.edu,07914673945,Electronics,2,5,No,3,4
SID_2024020,99,102.06,Paid,10,87.66,0,Graduate,Champak Bhavsar,champak88@college.edu,7782224111,Computer Science,1,1,No,5,1
