StudentID,AttendancePercentage,AverageScore,FeeStatus,LMS_Logins_Per_Week,MidtermGrade,ScholarshipHolder,Target,Email,Phone
SID_2024001,91,81.49,Paid,6,78.82,1,Enrolled,christopherhill@example.com,627.572.2545
SID_2024002,75,60.33,Paid,6,68.24,1,Enrolled,sean54@example.net,211.287.4538
SID_2024003,85,76.46,Paid,8,94.71,1,Graduate,sandra59@example.net,+1-989-429-8052x9483
SID_2024004,49,44.4,Overdue,2,54.02,1,Dropout,villegaslauren@example.org,001-333-312-6445x18955
SID_2024005,84,79.46,Paid,9,58.89,0,Enrolled,littlefrank@example.net,+1-335-207-8961x775
SID_2024006,52,47.31,Overdue,2,52.22,0,Dropout,cgaines@example.org,+1-306-853-6518x981
SID_2024007,86,95.06,Paid,14,87.97,0,Graduate,jstewart@example.com,7774975813
SID_2024008,53,55.59,Paid,4,49.17,0,Dropout,jasmine88@example.org,(866)472-1846x767
SID_2024009,98,96.23,Paid,14,84.18,1,Graduate,carrie58@example.net,574.513.2930
SID_2024010,94,90.45,Paid,13,75.89,0,Graduate,robertwright@example.org,5082471589
SID_2024011,90,66.34,Paid,7,74.1,0,Enrolled,matthewharris@example.com,408.673.4654x9381
SID_2024012,95,83.7,Paid,5,73.45,0,Graduate,schaney@example.net,+1-561-565-2834x329
SID_2024013,85,92.85,Paid,13,71.92,1,Graduate,jclark@example.net,811-988-9005
SID_2024014,91,72.31,Due,9,59.45,0,Enrolled,renee64@example.net,(718)995-7878x2895
SID_2024015,87,80.66,Paid,13,94.74,0,Graduate,jasonberry@example.com,001-721-680-4752x1686
SID_2024016,50,55.68,Due,0,55.0,0,Dropout,fmoore@example.org,(408)319-0622
SID_2024017,96,88.07,Paid,14,86.48,0,Graduate,swood@example.net,745-900-5586x54825
SID_2024018,77,67.36,Paid,6,57.91,0,Enrolled,morrisrichard@example.org,268.626.6652
SID_2024019,64,62.26,Overdue,2,55.67,0,Dropout,garywarren@example.net,(399)206-6397x044
SID_2024020,99,95.98,Paid,10,87.66,0,Graduate,qcontreras@example.com,995-896-0658
SID_2024021,62,53.23,Due,0,40.0,1,Dropout,jacksonlisa@example.com,001-449-235-5725x82376
SID_2024022,80,84.34,Due,5,71.41,1,Enrolled,william75@example.com,+1-851-203-7055
SID_2024023,70,78.85,Due,9,58.59,0,Enrolled,djackson@example.com,265.665.3631x87735
SID_2024024,94,60.68,Paid,4,55.06,0,Enrolled,carmenwilson@example.com,5059707445
SID_2024025,76,77.95,Paid,3,60.97,0,Enrolled,brewerdustin@example.org,703-457-1863
SID_2024026,84,62.42,Paid,4,76.32,0,Enrolled,figueroajames@example.com,589-985-4188
SID_2024027,65,41.19,Overdue,1,58.69,0,Dropout,rhondaleach@example.net,412-771-7653x07956
SID_2024028,95,89.61,Paid,6,78.1,0,Graduate,bsparks@example.net,839.998.4095x28219
SID_2024029,99,90.97,Paid,9,85.06,1,Graduate,tfox@example.org,640.691.8335x19369
SID_2024030,86,71.41,Paid,6,68.74,1,Enrolled,paulamills@example.com,+1-853-910-2526
SID_2024031,93,64.45,Paid,8,73.99,0,Enrolled,christina65@example.org,+1-795-410-4268x352
SID_2024032,85,88.48,Paid,8,78.18,0,Graduate,yperez@example.org,+1-501-636-5245x7710
SID_2024033,96,96.45,Paid,10,77.98,1,Graduate,rachel46@example.com,+1-318-530-5632x45084
SID_2024034,70,84.91,Paid,6,79.22,1,Enrolled,rbranch@example.net,914-740-3016
SID_2024035,85,83.22,Due,9,65.12,0,Enrolled,iscott@example.com,001-802-762-4947x14425
SID_2024036,80,62.52,Paid,3,60.74,0,Enrolled,daviesrebecca@example.com,001-542-749-7740x573
SID_2024037,84,78.99,Paid,5,74.45,1,Enrolled,kramertracie@example.org,700-843-5612
SID_2024038,88,64.85,Paid,7,68.84,0,Enrolled,mark06@example.com,001-314-545-9370x00106
SID_2024039,86,69.94,Paid,8,68.45,0,Enrolled,lkelly@example.net,839-415-9296
SID_2024040,88,67.57,Paid,8,56.02,0,Enrolled,ksteele@example.org,(605)721-2378
SID_2024041,88,83.17,Paid,8,74.49,0,Enrolled,dylan56@example.org,262-555-1664
SID_2024042,72,80.56,Paid,3,64.89,0,Enrolled,vlowe@example.net,709.669.5627x32143
SID_2024043,97,82.01,Paid,5,77.08,1,Graduate,coreylang@example.net,543-817-6647x35208
SID_2024044,91,75.46,Paid,4,67.2,0,Enrolled,ssimmons@example.org,806-860-5683
SID_2024045,72,62.22,Paid,3,64.44,1,Enrolled,ethan90@example.net,744.570.0543x15313
SID_2024046,76,67.61,Paid,8,58.68,1,Enrolled,millercharles@example.com,7425157663
SID_2024047,94,97.37,Paid,7,85.61,0,Graduate,pollardashley@example.net,(206)499-3927x169
SID_2024048,87,70.38,Paid,5,63.48,1,Enrolled,megan94@example.net,(298)804-7167x5750
SID_2024049,83,83.17,Due,9,61.37,0,Enrolled,webstersabrina@example.org,(949)703-1182x144
SID_2024050,59,55.79,Overdue,2,40.64,0,Dropout,vjohnston@example.com,(911)561-7212x928
SID_2024051,74,63.7,Paid,5,64.2,0,Enrolled,schmidtjohn@example.org,444-264-0300x68186
SID_2024052,70,70.28,Due,5,57.77,0,Enrolled,heather11@example.net,359-546-5156
SID_2024053,51,50.2,Due,1,30.08,0,Dropout,armstrongkeith@example.net,926-456-7391x65884
SID_2024054,93,73.26,Paid,5,57.01,1,Enrolled,rosemichelle@example.com,(854)778-8348x923
SID_2024055,88,65.14,Paid,3,56.16,1,Enrolled,michaelsmith@example.net,246-371-6157x824
SID_2024056,96,93.97,Paid,14,77.05,1,Graduate,christina36@example.org,+1-738-476-4428
SID_2024057,77,74.83,Due,3,76.98,0,Enrolled,christophertrevino@example.net,779-204-5051
SID_2024058,89,61.31,Paid,4,70.29,1,Enrolled,gwright@example.net,+1-338-362-8922x4653
