StudentID,AttendancePercentage,AverageScore,FeeStatus,LMS_Logins_Per_Week,MidtermGrade,ScholarshipHolder,Target,Email,Phone,ReportingPeriod
SID_2024001,89,77.93,Paid,6,78.82,1,Enrolled,yburke@example.org,9015096787,1
SID_2024001,93,82.79,Paid,6,78.82,1,Enrolled,yburke@example.org,9015096787,2
SID_2024001,89,84.07,Paid,6,78.82,1,Enrolled,yburke@example.org,9015096787,3
SID_2024001,91,84.03,Paid,6,78.82,1,Enrolled,yburke@example.org,9015096787,4
SID_2024002,78,56.57,Paid,6,68.24,1,Enrolled,john54@example.org,231-941-9015,1
SID_2024002,77,57.83,Paid,6,68.24,1,Enrolled,john54@example.org,231-941-9015,2
SID_2024002,73,57.35,Paid,6,68.24,1,Enrolled,john54@example.org,231-941-9015,3
SID_2024002,72,61.13,Paid,6,68.24,1,Enrolled,john54@example.org,231-941-9015,4
SID_2024003,86,80.29,Paid,8,94.71,1,Graduate,monica85@example.org,211.441.0459,1
SID_2024003,89,82.69,Paid,8,94.71,1,Graduate,monica85@example.org,211.441.0459,2
SID_2024003,91,85.32,Paid,8,94.71,1,Graduate,monica85@example.org,211.441.0459,3
SID_2024003,89,83.2,Paid,8,94.71,1,Graduate,monica85@example.org,211.441.0459,4
SID_2024004,40,32.02,Overdue,2,54.02,1,Dropout,oliviawells@example.com,(956)963-5304x5605,1
SID_2024004,43,35.27,Overdue,2,54.02,1,Dropout,oliviawells@example.com,(956)963-5304x5605,2
SID_2024004,45,38.61,Overdue,2,54.02,1,Dropout,oliviawells@example.com,(956)963-5304x5605,3
SID_2024004,49,44.4,Overdue,2,54.02,1,Dropout,oliviawells@example.com,(956)963-5304x5605,4
SID_2024005,82,83.59,Paid,9,58.89,0,Enrolled,bonnie11@example.com,445-588-7864,1
SID_2024005,85,77.16,Paid,9,58.89,0,Enrolled,bonnie11@example.com,445-588-7864,2
SID_2024005,87,82.06,Paid,9,58.89,0,Enrolled,bonnie11@example.com,445-588-7864,3
SID_2024005,87,84.17,Paid,9,58.89,0,Enrolled,bonnie11@example.com,445-588-7864,4
SID_2024006,40,37.36,Overdue,2,52.22,0,Dropout,brownmichael@example.com,(903)627-6251,1
SID_2024006,40,36.22,Overdue,2,52.22,0,Dropout,brownmichael@example.com,(903)627-6251,2
SID_2024006,48,44.98,Overdue,2,52.22,0,Dropout,brownmichael@example.com,(903)627-6251,3
SID_2024006,52,47.31,Overdue,2,52.22,0,Dropout,brownmichael@example.com,(903)627-6251,4
SID_2024007,88,98.65,Paid,14,87.97,0,Graduate,christopherbaker@example.com,001-550-599-4260x627,1
SID_2024007,90,99.91,Paid,14,87.97,0,Graduate,christopherbaker@example.com,001-550-599-4260x627,2
SID_2024007,92,98.4,Paid,14,87.97,0,Graduate,christopherbaker@example.com,001-550-599-4260x627,3
SID_2024007,94,100.0,Paid,14,87.97,0,Graduate,christopherbaker@example.com,001-550-599-4260x627,4
SID_2024008,40,47.49,Paid,4,49.17,0,Dropout,barnesphillip@example.com,001-402-916-8019x41958,1
SID_2024008,45,48.52,Paid,4,49.17,0,Dropout,barnesphillip@example.com,001-402-916-8019x41958,2
SID_2024008,48,49.81,Paid,4,49.17,0,Dropout,barnesphillip@example.com,001-402-916-8019x41958,3
SID_2024008,53,55.59,Paid,4,49.17,0,Dropout,barnesphillip@example.com,001-402-916-8019x41958,4
SID_2024009,99,98.22,Paid,14,84.18,1,Graduate,jessica89@example.com,+1-616-482-1626,1
SID_2024009,100,98.89,Paid,14,84.18,1,Graduate,jessica89@example.com,+1-616-482-1626,2
SID_2024009,100,100.0,Paid,14,84.18,1,Graduate,jessica89@example.com,+1-616-482-1626,3
SID_2024009,100,100.0,Paid,14,84.18,1,Graduate,jessica89@example.com,+1-616-482-1626,4
SID_2024010,96,93.31,Paid,13,75.89,0,Graduate,barbaraflowers@example.org,7224038399,1
SID_2024010,98,98.09,Paid,13,75.89,0,Graduate,barbaraflowers@example.org,7224038399,2
SID_2024010,97,100.0,Paid,13,75.89,0,Graduate,barbaraflowers@example.org,7224038399,3
SID_2024010,100,95.85,Paid,13,75.89,0,Graduate,barbaraflowers@example.org,7224038399,4
SID_2024011,87,62.87,Paid,7,74.1,0,Enrolled,kchambers@example.net,+1-804-930-4100x592,1
SID_2024011,88,68.86,Paid,7,74.1,0,Enrolled,kchambers@example.net,+1-804-930-4100x592,2
SID_2024011,92,70.39,Paid,7,74.1,0,Enrolled,kchambers@example.net,+1-804-930-4100x592,3
SID_2024011,91,67.04,Paid,7,74.1,0,Enrolled,kchambers@example.net,+1-804-930-4100x592,4
SID_2024012,96,86.43,Paid,5,73.45,0,Graduate,brianmiles@example.net,495-720-6303,1
SID_2024012,99,86.28,Paid,5,73.45,0,Graduate,brianmiles@example.net,495-720-6303,2
SID_2024012,98,92.64,Paid,5,73.45,0,Graduate,brianmiles@example.net,495-720-6303,3
